perturbation_type,noise_snr_db,phase_jitter_sd_deg,realization,angle_count,minimum_angle_deg,maximum_angle_deg,total_angle_span_deg,evaluation_z_mm,method,measurement_ok,peak_x_mm,peak_x_bias_mm,peak_amplitude,background_rms,peak_to_background_db,lateral_fwhm_mm,lateral_width_minus10_db_mm,lateral_width_minus20_db_mm,samples_per_fwhm,grid_spacing_mm,measurement_error
noise,30.0,0.0,10,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53440.44140625,501.480331867871,40.552322641233154,0.22584410635983448,0.28202793476235244,0.5250353005449887,578.1609122811989,0.00039062499999998473,
noise,30.0,0.0,10,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2652.756591796875,0.13909556385195984,85.60768246074646,0.009081251385260811,0.017092378729040292,0.05632599753262778,23.248003546268585,0.00039062499999998473,
noise,30.0,0.0,10,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0,0.0,2662.82666015625,6.139969594037191,52.743533519719975,0.11697101209922708,0.17715578348519231,0.29166305653490754,299.44579097403306,0.00039062499999998473,
noise,20.0,0.0,1,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53457.75,499.79923546415137,40.58430176383573,0.22582877512769567,0.2821617479195332,0.5256747108269508,578.1216643269235,0.00039062499999998473,
noise,20.0,0.0,1,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2617.5791015625,0.13300415529813586,85.88069210601066,0.009291235094247362,0.017385030222715675,0.05705353063866911,23.785561841274177,0.00039062499999998473,
noise,20.0,0.0,1,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0011718750000000002,0.0011718750000000002,2612.984130859375,5.858181722194127,52.987478654217995,0.11808506395165189,0.17760999940030292,0.29484005365399696,302.29776371624064,0.00039062499999998473,
noise,20.0,0.0,2,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53398.5078125,494.95865339173986,40.65920399325164,0.22585993645058744,0.28216539157169734,0.5255511829612864,578.2014373135264,0.00039062499999998473,
noise,20.0,0.0,2,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2625.516845703125,0.13694328102629108,85.65348160409891,0.00921982606485429,0.017290907515071247,0.05685256809889987,23.602754726027907,0.00039062499999998473,
noise,20.0,0.0,2,17,-4.0,4.0,8.0,20.1,Angular NSI,True,-0.003125,-0.003125,2635.49462890625,5.488290691303809,53.628500588727455,0.11852354294348907,0.17978312533731905,0.2931545017648489,303.42026993534387,0.00039062499999998473,
noise,20.0,0.0,3,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53483.2890625,510.26142212172596,40.408507442275834,0.2253502634128739,0.2815799002596924,0.5273127413290724,576.8966743369797,0.00039062499999998473,
noise,20.0,0.0,3,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2653.424560546875,0.14518474845973672,85.2377149649576,0.009086383496846564,0.017098051468633094,0.05632421036113741,23.26114175192811,0.00039062499999998473,
noise,20.0,0.0,3,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.0027343750000000003,0.0027343750000000003,2579.593994140625,6.297555190974843,52.24758749690605,0.12011978010536722,0.1800830329701705,0.2918045045884605,307.5066370697521,0.00039062499999998473,
noise,20.0,0.0,4,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53446.0546875,495.9826186301869,40.64898389030994,0.22590061724712396,0.28201007789386634,0.5203541127177537,578.3055801526599,0.00039062499999998473,
noise,20.0,0.0,4,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2595.13330078125,0.1363196539070743,85.59202391530646,0.009414233683684017,0.017558218839607988,0.057533340519809746,24.100438230232026,0.00039062499999998473,
noise,20.0,0.0,4,17,-4.0,4.0,8.0,20.1,Angular NSI,True,-0.0015625,-0.0015625,2638.06396484375,6.312877346953289,52.421159402734375,0.11926293145511382,0.17904081161737656,0.29080030532631174,305.3131045251033,0.00039062499999998473,
noise,20.0,0.0,5,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53435.76171875,492.46105215623817,40.70920231874919,0.22579439865746814,0.2818022744513677,0.5257384606421077,578.033660563141,0.00039062499999998473,
noise,20.0,0.0,5,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2582.942138671875,0.14273511296702954,85.15167708833162,0.009473955661307114,0.017637436148157364,0.05769900359697805,24.25332649294716,0.00039062499999998473,
noise,20.0,0.0,5,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.00078125,0.00078125,2666.55322265625,6.5264739527741265,52.225432945217,0.11522930896824779,0.17558132431121287,0.2899598729229958,294.9870309587259,0.00039062499999998473,
noise,20.0,0.0,6,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53449.671875,506.52568233190965,40.46687146372355,0.22592356933789862,0.2820522519817534,0.5234989042056108,578.3643375050431,0.00039062499999998473,
noise,20.0,0.0,6,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2578.01708984375,0.14043381020063203,85.27628225723375,0.009496342587901996,0.017666307437853353,0.05778810698663654,24.310637025030058,0.00039062499999998473,
noise,20.0,0.0,6,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.000390625,0.000390625,2660.6953125,5.610381080275011,53.52005566323839,0.11588875013408642,0.17406208993912892,0.2892189897128422,296.6752003432728,0.00039062499999998473,
noise,20.0,0.0,7,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53439.43359375,432.0796256819529,41.84596116708847,0.2257967162227314,0.28204296837433784,0.5251779560666231,578.0395935302149,0.00039062499999998473,
noise,20.0,0.0,7,17,-4.0,4.0,8.0,20.1,Conventional NSI,True,0.0,0.0,2633.13916015625,0.13282236946427842,85.94405176936739,0.009198714025049959,0.017264952329997675,0.05677858831836355,23.548707904128815,0.00039062499999998473,
noise,20.0,0.0,7,17,-4.0,4.0,8.0,20.1,Angular NSI,True,0.001953125,0.001953125,2664.552490234375,5.508614859995438,53.6916374139974,0.1146041458187442,0.17486653537387592,0.29251090176046135,293.3866132959966,0.00039062499999998473,
noise,20.0,0.0,8,17,-4.0,4.0,8.0,20.1,DAS,True,0.0,0.0,53417.5703125,491.1100273951533,40.73010657538278,0.22626781289254155,0.2823943256829625,0.5200491470169362,579.245601004929,0.00039062499999998473,
