repetition,order_within_repetition,method,elapsed_seconds,elapsed_milliseconds
24,4,Angular NSI (streaming),0.023010244010947645,23.010244010947645
25,1,Conventional NSI (two fields),0.03127474099164829,31.274740991648287
25,2,Angular NSI (streaming),0.023525573997176252,23.525573997176252
25,3,DAS / coherent compounding,0.023411989997839555,23.411989997839555
25,4,Angular NSI (stored angle stack),0.024280269994051196,24.280269994051196
26,1,Angular NSI (streaming),0.025160763005260378,25.160763005260378
26,2,Conventional NSI (two fields),0.029032397011178546,29.032397011178546
26,3,DAS / coherent compounding,0.023168617000919767,23.168617000919767
26,4,Angular NSI (stored angle stack),0.023125549996620975,23.125549996620975
27,1,Angular NSI (streaming),0.024759124993579462,24.759124993579462
27,2,DAS / coherent compounding,0.024444937997031957,24.444937997031957
27,3,Angular NSI (stored angle stack),0.024733556012506597,24.733556012506597
27,4,Conventional NSI (two fields),0.029413202006253414,29.413202006253414
28,1,Angular NSI (streaming),0.026290514011634514,26.290514011634514
28,2,Angular NSI (stored angle stack),0.023616207006853074,23.616207006853074
28,3,Conventional NSI (two fields),0.031697551006800495,31.697551006800495
28,4,DAS / coherent compounding,0.023967700995854102,23.967700995854102
29,1,Conventional NSI (two fields),0.031142248000833206,31.142248000833206
29,2,Angular NSI (streaming),0.024963871997897513,24.963871997897513
29,3,DAS / coherent compounding,0.023648133996175602,23.648133996175602
29,4,Angular NSI (stored angle stack),0.024697706001461484,24.697706001461484
30,1,Conventional NSI (two fields),0.031258354007150047,31.258354007150047
30,2,DAS / coherent compounding,0.024971253995317966,24.971253995317966
30,3,Angular NSI (streaming),0.025555439002346247,25.555439002346247
30,4,Angular NSI (stored angle stack),0.024800977000268176,24.800977000268176
31,1,Conventional NSI (two fields),0.030190372010110877,30.190372010110877
31,2,Angular NSI (stored angle stack),0.023150941997300833,23.150941997300833
31,3,DAS / coherent compounding,0.024173993995646015,24.173993995646015
31,4,Angular NSI (streaming),0.023264509000000544,23.264509000000544
32,1,Conventional NSI (two fields),0.03044247800426092,30.44247800426092
32,2,DAS / coherent compounding,0.02416688299854286,24.16688299854286
32,3,Angular NSI (streaming),0.024521652987459674,24.521652987459674
32,4,Angular NSI (stored angle stack),0.02348255600372795,23.48255600372795
33,1,Angular NSI (streaming),0.02594653000414837,25.94653000414837
33,2,Angular NSI (stored angle stack),0.0254246659897035,25.4246659897035
33,3,DAS / coherent compounding,0.024259712008642964,24.259712008642964
33,4,Conventional NSI (two fields),0.029365451002377085,29.365451002377085
34,1,Angular NSI (stored angle stack),0.026108369987923652,26.108369987923652
34,2,Angular NSI (streaming),0.025197235998348333,25.197235998348333
34,3,Conventional NSI (two fields),0.03695850999793038,36.95850999793038
34,4,DAS / coherent compounding,0.022654373999102972,22.654373999102972
35,1,Angular NSI (streaming),0.030051886991714127,30.051886991714127
35,2,DAS / coherent compounding,0.02386621799087152,23.86621799087152
